"","Year","Land.Locked.Developing.Countries..LLDC...O","Economic.Growth..from.prior.year...O","Population..O","GPD.LCU..Trillions...O","X....1.90.a.day..O","X..of.Famine..O","Maternal.Mortality..Deaths...O","Maternal.Mortality.per.100k..O","Suicide.Mortality.per.100k..O","Life.Expectancy..Year...O","X..Male..Pop...O","X..Rural.Population..O","Death.Rate..Crude..per.100k..O","Birth.Rate..Crude..Per.100k.O","Natural.Increase..Crude..per.100k..O","X..Crop.Production.to..1416..O","Gov.Education.Budget....of...O","Homicide.P100k..O","Avg.Pop.p100k"
"SRB",2009.86544342508,0,0.0420050968399592,7258616.21610601,3.9684505606524,1792.55861365953,2651.88583078491,10.3567787971458,10.4638124362895,16.4189602446483,71.1896024464832,0.49,0.452487257900102,1367.30784913354,923.058103975535,444.249745158002,0.602089704383282,0.0495718654434251,1.5609378185525,69.6036363636364
"RUS",2010.83217324053,0,0.0457610208816705,143925560.07966,77.3727378190255,414.075792730085,2252.90023201856,406.852281515855,25.53905645785,35.3758700696056,65.5189481825213,0.462490332559938,0.260989945862336,1345.3905645785,1078.07424593968,273.859242072699,0.766759474091261,0.0751662799690642,15.108909512761,887.991818181818
"ALB",2010.60641891892,0,0.043777027027027,2935673.17060811,1.19996621621622,286.148648648649,4920.43918918919,6.04560810810811,15.535472972973,5.43412162162162,72.9780405405405,0.506385135135135,0.474391891891892,654.668918918919,1210.34966216216,555.680743243243,0.714628378378378,0.0909459459459459,3.70329391891892,99.6522727272727
"BIH",2009.53,0,0.04094,3612592.48375,0.0261374999999994,37.3750000000001,2268.25,3.6275,10.5425,9.84125,73.10375,0.49,0.5450125,916.7205,886.474375,124.009625,0.8785875,0,1.36485,49.6309090909091
"BGR",2009.13970588235,0,0.0409240196078431,7480944.9754902,0.079436274509804,1237.74509803922,3635.53921568627,8.35049019607843,12.0147058823529,12.3529411764706,71.2622549019608,0.49,0.279558823529412,1440.12254901961,904.362745098039,535.759803921569,0.782720588235294,0.0775245098039216,2.27274509803922,42.1490909090909
"EST",2009.09302325581,0,0.0627790697674419,1344614.25,0.0184302325581391,581.976744186047,2376.16279069767,2.07558139534884,14.7848837209302,20.8081395348837,72.1104651162791,0.468488372093023,0.314127906976744,1205.05813953488,1020,185.058139534884,0.694011627906977,0.117325581395349,4.29139534883721,33.5509090909091
"ROU",2009.29514563107,0,0.0505728155339806,20650066.8757282,0.33221359223301,2617.8640776699,2189.32038834951,61.0388349514563,28.3825242718447,11.3592233009709,70.6601941747573,0.49,0.464485436893204,1216.21359223301,983.747572815534,232.466019417476,0.868912621359223,0.0910679611650485,1.7928932038835,41.97
"UKR",2012.58248009101,0,0.0540193401592719,45652695.4937429,2.53632536973834,96.5870307167236,2106.93970420933,86.6882821387941,19.2662116040956,22.8179749715586,65.4084186575654,0.46061433447099,0.312684869169511,1416.92832764505,895.199089874858,521.729237770193,0.740739476678043,0.118737201365188,3.45410693970421,138.007272727273
"AUT",2010.32203389831,0,0.023135593220339,8444641.37288136,0.329152542372881,335.593220338983,2203.38983050847,3.35593220338983,4.15254237288136,15.3220338983051,76.2881355932203,0.49,0.415423728813559,887.796610169491,904.915254237288,24.2372881355932,0.933389830508475,0.0933898305084746,0.723559322033898,1.94045454545455
"BLR",2011.54619124797,0,0.0455186385737439,9532514.2560778,0.0694651539708267,432.090761750405,2231.44246353323,5.80713128038898,5.86547811993517,29.2560777957861,67.1539708265802,0.468557536466775,0.245332252836305,1273.11183144246,1010.34035656402,262.771474878444,0.873517017828201,0.101523500810373,3.38627228525122,94.9695454545455
"CZE",2009.37751004016,0,0.0367991967871486,10404385.2851406,4.14204819277108,10.0401606425704,2168.67469879518,4.3293172690763,4.18473895582329,13.9477911646586,74.2369477911647,0.49,0.263855421686747,1010.20080321285,983.373493975904,80.8835341365462,0.82136546184739,0.0851004016064257,1.02076305220884,11.5531818181818
"FRA",2012.36585365854,0,0.0245284552845528,65402495.6422764,2.14739837398374,32.5203252032521,2093.49593495935,49.3821138211382,6.35772357723577,14.7154471544715,75.6341463414634,0.480243902439024,0.210243902439024,818.617886178862,1131.78861788618,313.170731707317,0.851707317073171,0.0130081300813008,1.32837398373984,7.42681818181818
"GBR",2012.09090909091,0,0.0303030303030303,63704068.9242424,1.84454545454545,184.090909090909,2102.27272727273,52.7348484848485,6.93939393939394,7.09090909090909,74.0757575757576,0.49,0.181818181818182,863.636363636364,1096.81818181818,235.606060606061,0.823863636363636,0.0957575757575758,0.981439393939394,5.88863636363636
"DEU",2011.89795918367,0,0.0230136054421769,82211524.5442177,2.91768707482993,13.6054421768709,2074.82993197279,30.843537414966,4.38095238095238,11.3945578231293,74.5918367346939,0.49,0.233197278911565,1002.72108843537,822.517006802721,180.204081632653,0.817619047619048,0.0610884353741497,0.984965986394558,6.58136363636364
"HRV",2009.35135135135,0,0.0361143451143451,4256389.32848233,0.33968814968815,342.827442827443,2693.97089397089,3.31600831600832,8.05821205821206,17.2224532224532,74.1372141372141,0.48,0.448378378378378,1159.78731808732,909.776507276507,250.010810810811,0.832390852390852,0.0450519750519751,1.3375051975052,29.2427272727273
"HUN",2010.62237762238,0,0.0371013986013986,9958925.91258741,33.4238811188811,253.496503496503,2176.57342657343,10.3741258741259,11.1013986013986,21.8741258741259,70.8986013986014,0.475104895104895,0.313741258741259,1260.90909090909,904.895104895105,356.013986013986,0.820909090909091,0.0851748251748252,1.57660839160839,20.4959090909091
"ITA",2012.6524822695,0,0.0239716312056738,59276118.9716312,1.68978723404255,823.404255319149,2039.00709219858,8.43262411347518,1.60283687943262,6.02127659574468,75.5886524822695,0.486028368794326,0.307730496453901,954.397163120567,778.085106382979,177.58865248227,0.878156028368794,0.0657446808510638,0.694468085106383,4.45090909090909
"LTU",2009.66055045872,0,0.0563394495412844,3131897.56422018,0.032752293577981,868.807339449541,2167.43119266055,3.07798165137615,10.3256880733945,35.8440366972477,70.1146788990826,0.462889908256881,0.32802752293578,1271.74311926606,923.211009174312,348.532110091743,0.667201834862385,0.116376146788991,6.52467889908257,64.6536363636364
"LVA",2009.60344827586,0,0.0628965517241379,2122642.3362069,0.0227586206896547,892.672413793103,2415.51724137931,5.42672413793103,25.2068965517241,23.2370689655172,70.4870689655172,0.46,0.32,1395.94827586207,962.241379310345,433.706896551724,0.675991379310345,0.124310344827586,2.41689655172414,25.4872727272727
"MKD",2010.3661971831,1,0.0343521126760563,2052874.51911469,0.369195171026157,2830.7847082495,3605.03018108652,1.88329979879276,7.67002012072435,8.54929577464789,71.2917505030181,0.5,0.423661971830986,901.685070422535,1096.89577211268,225.230978273642,0.795311871227364,0.00434607645875252,1.60046277665996,36.1559090909091
"MDA",2010.63076923077,1,0.0573403846153846,2824587.70384615,0.0901153846153845,4700.38461538462,0,10.3403846153846,23.2923076923077,15.9461538461538,66.7538461538462,0.48,0.569326923076923,1123.1525,1012.84673076923,110.305769230769,0.883769230769231,0.179538461538462,5.56932692307692,131.638636363636
"POL",2009.41197183099,0,0.0380352112676056,38091992.3133803,1.51950704225352,336.971830985916,2174.29577464789,12.9260563380282,3.38380281690141,15.5739436619718,73.2922535211268,0.481197183098592,0.390105633802817,967.288732394366,958.06338028169,44.1549295774648,0.885880281690141,0.108204225352113,0.800669014084507,10.3359090909091
"PRT",2012.08474576271,0,0.0278050847457627,10399254.0084746,0.184745762711864,283.050847457627,2033.89830508475,6.27118644067797,6.45762711864407,10.364406779661,74.228813559322,0.475,0.382457627118644,972.796610169491,859.406779661017,149.152542372881,0.817881355932203,0.0792372881355932,0.310338983050848,1.66454545454545
"SVN",2008.48888888889,0,0.0381777777777778,2029300.53333333,0.0363333333333327,10.0000000000001,2166.66666666667,1.55555555555556,7.88888888888889,23.7222222222222,75.8222222222222,0.494,0.475777777777778,914.555555555556,921.777777777778,75.2222222222222,0.951111111111111,0.0945555555555556,0.984222222222222,4.02636363636364
"BEL",2011.24761904762,0,0.0231428571428571,10970778.6857143,0.396095238095238,123.809523809524,2166.66666666667,6.03809523809524,4.99047619047619,17.9714285714286,75.5714285714286,0.491047619047619,0.0227619047619048,922.857142857143,1051.33333333333,138.952380952381,0.862761904761905,0.0600952380952381,0.224857142857143,1.07318181818182
"DNK",2011.36,0,0.02228,5597372.06,2.0126,156,2100,2.76,4.28,11.32,74.6,0.4994,0.1314,921,1046.2,125.2,0.8216,0.1068,0.6268,1.42454545454545
"GRC",2011.6,0,0.037192,10893783.736,0.19768,649.6,2160,2.248,2.28,3.72,75.128,0.49216,0.23208,976.32,858.56,148.64,0.8636,0.0288,0.94424,5.365
"ISL",2010.25925925926,0,0.0474444444444444,320502.962962962,2.17925925925926,44.4444444444445,2222.22222222222,0,3.96296296296296,12.1111111111111,78.8148148148148,0.5,0.0655555555555556,611.851851851852,1332.22222222222,720.37037037037,0.861851851851852,0.13037037037037,0.51962962962963,0.738421052631579
"IRL",2012.89130434783,0,0.0728478260869565,4599778.15217391,0.252826086956522,176.086956521739,2010.86956521739,2.73913043478261,4.26086956521739,9.15217391304348,73.6521739130435,0.499347826086957,0.378913043478261,600.869565217391,1284.78260869565,683.913043478261,0.774130434782609,0.0991304347826087,0.793913043478261,1.66
"MLT",2011.375,0,0.059875,442844.125000001,0.00999999999999979,143.75,1953.125,0,5.3125,5.375,75.6875,0.5,0.0590625,719.375,893.4375,174.0625,0.790625,0.06125,1.116875,1.88105263157895
"NLD",2011.29032258065,0,0.023247311827957,16743253.5591398,0.676666666666667,61.2903225806452,2096.77419354839,12.2365591397849,6.53763440860215,9.20430107526882,75.3010752688172,0.5,0.129677419354839,801.182795698925,1019.78494623656,218.602150537634,0.839462365591398,0.0980645161290323,0.799677419354839,3.38045454545455
"ESP",2013.01333333333,0,0.0335,45957839.06,1.07753333333333,681.333333333333,2083.33333333333,12.84,2.94666666666667,6.86666666666667,76.0266666666667,0.49,0.208133333333333,817.933333333333,856.733333333333,132.8,0.851,0.0808,0.765733333333333,5.22090909090909
"SVK",2008.48979591837,0,0.0483877551020408,5394399.49387755,0.0648163265306125,260,4602.85714285714,3.15510204081633,5.92244897959184,12.9836734693878,73.4163265306122,0.486204081632653,0.449836734693878,961.102040816327,1007.38775510204,53.0612244897959,0.826938775510204,0.0893061224489796,1.63297959183673,18.1854545454545
"SWE",2011.60273972603,0,0.0297534246575342,9587731.80821918,3.98301369863014,369.86301369863,2157.53424657534,3.83561643835616,3.63013698630137,13.4657534246575,77.027397260274,0.499178082191781,0.141780821917808,910.27397260274,1085.34246575342,177.260273972603,0.80027397260274,0.115205479452055,0.968630136986301,3.21409090909091
"CHE",2010.04255319149,0,0.0225531914893617,7855095.9787234,0.616595744680851,6.38297872340435,2234.04255319149,4.12765957446809,5.17021276595745,15.7872340425532,78.5957446808511,0.492127659574468,0.262553191489362,779.36170212766,965.531914893617,186.170212765957,0.942553191489362,0.131702127659574,0.426170212765957,0.910454545454545
"FIN",2010.81818181818,0,0.0255454545454545,5377863.45454546,0.20939393939394,54.5454545454545,2348.48484848485,2.12121212121212,3.45454545454545,17.7272727272727,77.6969696969697,0.49,0.159090909090909,922.727272727273,1002.42424242424,128.787878787879,0.97030303030303,0.112121212121212,1.86333333333333,3.0745
"SMR",2002.33333333333,0,0.0163333333333333,28319.6666666679,0,1.13686837721616e-13,0,0,0,0,0,0,0.0633333333333333,243.333333333333,316.666666666667,73.3333333333333,0,0,1.18333333333333,1.18333333333333
"AND",2009.14814814815,0,0.046,78722.8888888883,0,1.13686837721616e-13,0,0,0,0,0,0,0.105555555555556,169.62962962963,731.111111111111,561.481481481482,0,0.03,0.276666666666667,0.393157894736842
"NOR",2014.6,0,0.0188,5140340.62222222,3.08644444444444,164.444444444444,2111.11111111111,1.4,2.28888888888889,10.3555555555556,74.6444444444444,0.502222222222222,0.190888888888889,733.555555555556,1025.33333333333,291.777777777778,0.786444444444445,0.126,0.604666666666667,1.60058823529412
"GIB",2002,0,0,32097,-2.49053223185176,1.13686837721616e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCO",2013.33333333333,0,0.05375,36990.6666666664,0.00583333333333321,1.13686837721616e-13,0,0,0,0,0,0,0,184.166666666667,181.666666666667,10.8333333333333,0,0.0441666666666667,0,0
"MNE",2014.31137724551,0,0.0544550898203593,620598.760479041,0,1297.00598802395,2170.05988023952,0.353293413173653,4.8562874251497,18.0059880239521,70.4491017964072,0.49,0.345568862275449,929.221556886228,1123.35329341317,198.083832335329,0.916107784431138,0,2.64407185628743,27.5975
"VAT",2015,0,0.0407498663103508,11327332.2893885,1.38060701205586,792.564234793777,2220.74459582291,-17.1114312314698,7.38280021804366,11.0263684470346,65.8338212254963,0.482779464562061,0.374126523523601,953.322972961747,891.145625731872,238.969826932488,0.717390810487373,0.0662367799741683,0.843796998897838,0.843796998897838
"LUX",2019,0,0.0236666666666667,619456.666666667,0.0600000000000005,133.333333333333,1666.66666666667,0,0,7.33333333333333,82.3333333333333,0.506666666666667,0.09,710,1016.66666666667,306.666666666667,0.653333333333333,0.03,0.436666666666667,0.436666666666667
"LIE",2020,0,0,38137,-6.39664487040974,1.13686837721616e-13,0,0,0,0,55.3333333333333,0,0.86,500,610,110,0,0,1.75,1.75
